"Data";"Template";"Treno";"OraP";"OraA";"Partenza";"Rit.";"Causale";"Nota partenza";"Arrivo";"Rit.";"Causale";"Nota arrivo";"Composizione";"Coincidenza";"Esito";"Causale soppressione";"Nota soppressione";"Verifica";"Chiusura"
"2019-01-03";"19-I";"114";"2019-01-03 11:20:00";"2019-01-03 12:43:00";"Malles - Mals";"";"";"";"Meran/o";"3";"Coincidenze programmate";"+2 LAC (x)113; +1 SV LAC-SEN; +3 TEL (x)115, vedi 115";"Doppia";"SI";"";"";"";"OK";"OK"
"2019-01-03";"19-I";"209";"2019-01-03 11:46:00";"2019-01-03 12:55:00";"Meran/o";"";"";"";"Malles - Mals";"3";"Prolungamento sosta commerciale";"+4 SEN (x)114;";"Singola";"SI";"";"";"";"OK";"OK"
"2019-01-03";"19-I";"115";"2019-01-03 12:16:00";"2019-01-03 13:38:00";"Meran/o";"4";"Coincidenze programmate";"";"Malles - Mals";"";"";"";"Doppia";"SI";"";"";"";"OK";"OK"
"2019-01-03";"19-I";"116";"2019-01-03 12:20:00";"2019-01-03 13:43:00";"Malles - Mals";"";"";"";"Meran/o";"";"Prolungamento sosta commerciale";"+4 a Senales (x) 114 con SV";"Doppia";"SI";"";"";"";"OK";"OK"
"2019-01-03";"19-I";"214";"2019-01-03 13:03:00";"2019-01-03 14:13:00";"Malles - Mals";"";"";"";"Meran/o";"";"Coincidenze programmate";"+2 a Tel (x) 213 con ritardo per (c) programmata";"Singola";"SI";"";"";"";"OK";"OK"
"2019-01-03";"19-I";"117";"2019-01-03 13:16:00";"2019-01-03 14:38:00";"Meran/o";"";"";"";"Malles - Mals";"";"";"";"Doppia";"SI";"";"";"";"OK";"OK"
"2019-01-03";"19-I";"118";"2019-01-03 13:20:00";"2019-01-03 14:43:00";"Malles - Mals";"";"";"";"Meran/o";"1";"Coincidenze programmate";"+2 a Tel (x) 119 in rit. per (c) ";"Singola";"SI";"";"";"";"OK";"OK"
"2019-01-03";"19-I";"213";"2019-01-03 13:46:00";"2019-01-03 14:55:00";"Meran/o";"2";"Coincidenze programmate";"";"Malles - Mals";"";"";"";"Singola";"SI";"";"";"";"OK";"OK"
"2019-01-03";"19-I";"119";"2019-01-03 14:16:00";"2019-01-03 15:38:00";"Meran/o";"4";"Coincidenze programmate";"";"Malles - Mals";"";"";"";"Doppia";"SI";"";"";"";"OK";"OK"
"2019-01-03";"19-I";"120";"2019-01-03 14:20:00";"2019-01-03 15:43:00";"Malles - Mals";"";"";"";"Meran/o";"";"";"";"Doppia";"SI";"";"";"";"OK";"OK"
"2019-01-03";"19-I";"218";"2019-01-03 15:03:00";"2019-01-03 16:13:00";"Malles - Mals";"";"";"";"Meran/o";"";"";"";"Singola";"SI";"";"";"";"OK";"OK"
